
2024/04/04 (10:53:22) | ===> btop++ v.1.3.2
2024/04/04 (10:53:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/07 (17:58:49) | ===> btop++ v.1.3.2
2024/04/07 (17:58:49) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/04/07 (17:58:56) | ===> btop++ v.1.3.2
2024/04/07 (17:58:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/07 (17:59:42) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/04/07 (17:59:44) | ===> btop++ v.1.3.2
2024/04/07 (17:59:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/09 (19:14:09) | ===> btop++ v.1.3.2
2024/04/09 (19:14:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/13 (15:02:42) | ===> btop++ v.1.3.2
2024/04/13 (15:02:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/13 (15:05:28) | ===> btop++ v.1.3.2
2024/04/13 (15:05:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/13 (15:06:00) | ===> btop++ v.1.3.2
2024/04/13 (15:06:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (14:42:19) | ===> btop++ v.1.3.2
2024/04/15 (14:42:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
